short_name,ionization energy,boiling point,melting point,electronegativity,period,group,electron affinity,abundance,radium,electron configuration,atomic_number
H,1312,20.3,14,2.2,1,1,72.8,75,53,1s1,1
He,2372.3,4.2,,,1,18,0,23,31,1s2,2
Li,520.2,1615,453.7,0.98,2,1,59.6,6.00E-07,167,1s22s1,3
Be,899.5,2743,1560,1.57,2,2,0,1.00E-07,112,1s22s2,4
B,800.6,4273,2348,2.04,2,13,26.7,1.00E-07,87,1s22s22p1,5
C,1086.5,4300,3823,2.55,2,14,153.9,0.5,67,1s22s22p2,6
N,1402.3,77.4,63.1,3.04,2,15,7,0.1,56,1s22s22p3,7
O,1313.9,90.2,54.8,3.44,2,16,141,1.00E+00,48,1s22s22p4,8
F,1681,85,53.5,3.98,2,17,328,4.00E-05,42,1s22s22p5,9
Ne,2080.7,27.1,24.6,,2,18,0,0.13,38,1s22s22p6,10
Na,495.8,1156,370.9,0.93,3,1,52.8,,190,[Ne]3s1,11
Mg,737.7,1363,923,1.31,3,2,0,,145,[Ne]3s2,12
Al,577.5,2792,933.5,1.61,3,13,42.5,,118,[Ne]3s23p1,13
Si,786.5,3173,1687,1.9,3,14,133.6,,111,[Ne]3s23p2,14
P,1011.8,553.6,317.3,2.19,3,15,72,,98,[Ne]3s23p3,15
S,999.6,717.9,388.4,2.58,3,16,200,,88,[Ne]3s23p4,16
Cl,1251.2,239.1,171.6,3.16,3,17,349,,79,[Ne]3s23p5,17
Ar,1520.6,87.3,83.8,,3,18,0,,71,[Ne]3s23p6,18
K,418.8,1032,336.5,0.82,4,1,48.4,,243,[Ar]4s1,19
Ca,589.8,1757,1115,1,4,2,2.37,,194,[Ar]4s2,20
Sc,633.1,3103,1814,1.36,4,3,18.1,,184,[Ar]3d14s2,21
Ti,658.8,3560,1941,1.54,4,4,7.6,,176,[Ar]3d24s2,22
V,650.9,3680,2183,1.63,4,5,50.6,,171,[Ar]3d34s2,23
Cr,652.9,2944,2180,1.66,4,6,64.3,,166,[Ar]3d54s1,24
Mn,717.3,2334,1519,1.55,4,7,0,,161,[Ar]3d54s2,25
Fe,762.5,3134,1811,1.83,4,8,15.7,,156,[Ar]3d64s2,26
Co,760.4,3200,1768,1.88,4,9,63.7,,152,[Ar]3d74s2,27
Ni,737.1,3186,1728,1.91,4,10,112,,149,[Ar]3d84s2,28
Cu,745.5,3200,1357.8,1.9,4,11,118.4,,145,[Ar]3d104s1,29
Zn,906.4,1180,692.7,1.65,4,12,0,,142,[Ar]3d104s2,30
Ga,578.8,2477,302.9,1.81,4,13,28.9,,136,[Ar]3d104s24p1,31
Ge,762,3093,1211.4,2.01,4,14,119,,125,[Ar]3d104s24p2,32
As,947,887,1090,2.18,4,15,78,,114,[Ar]3d104s24p3,33
Se,941,958,494,2.55,4,16,195,,103,[Ar]3d104s24p4,34
Br,1139.9,332,265.8,2.96,4,17,324.6,,94,[Ar]3d104s24p5,35
Kr,1350.8,119.9,115.8,3,4,18,0,,88,[Ar]3d104s24p6,36
Rb,403,961,312.5,0.82,5,1,46.9,,265,[Kr]5s1,37
Sr,549.5,1655,1050,0.95,5,2,5,,219,[Kr]5s2,38
Y,600,3618,1799,1.22,5,3,29.6,,212,[Kr]4d15s2,39
Zr,640.1,4682,2128,1.33,5,4,41.1,,206,[Kr]4d25s2,40
Nb,652.1,5017,2750,1.6,5,5,86.1,,198,[Kr]4d45s1,41
Mo,684.3,4912,2896,2.16,5,6,71.9,,190,[Kr]4d55s1,42
Tc,702.2,4538,2430,1.9,5,7,53,,182,[Kr]4d55s2,43
Ru,710.2,4423,2607,2.2,5,8,101.3,,178,[Kr]4d75s1,44
Rh,719.7,3968,2237,2.28,5,9,109.7,,173,[Kr]4d85s1,45
Pd,804.4,3236,1828.1,2.2,5,10,53.7,,169,[Kr]4d10,46
Ag,731,2435,1234.9,1.93,5,11,125.6,,165,[Kr]4d105s1,47
Cd,867.8,1040,594.2,1.69,5,12,0,,161,[Kr]4d105s2,48
In,558.3,2345,429.8,1.78,5,13,28.9,,156,[Kr]4d105s25p1,49
Sn,708.6,2875,505.1,1.96,5,14,107.3,,145,[Kr]4d105s25p2,50
Sb,834,1860,903.8,2.05,5,15,103.2,,133,[Kr]4d105s25p3,51
Te,869.3,1261,722.7,2.1,5,16,190.2,,123,[Kr]4d105s25p4,52
I,1008.4,457.4,386.9,2.66,5,17,295.2,,115,[Kr]4d105s25p5,53
Xe,1170.4,165.1,161.3,2.6,5,18,0,,108,[Kr]4d105s25p6,54
Cs,375.7,944,301.6,0.79,6,1,45.5,,298,[Xe]6s1,55
Ba,502.9,2143,1000,0.89,6,2,13.95,,253,[Xe]6s2,56
La,538.1,3737,1193,1.1,6,3,48,,,[Xe]5d16s2,57
Ce,534.4,3633,1071,1.12,6,,50,,,[Xe]4f15d16s2,58
Pr,527,3563,1204,1.13,6,,50,,247,[Xe]4f36s2,59
Nd,533.1,3373,1294,1.14,6,,50,,206,[Xe]4f46s2,60
Pm,540,3273,1373,,6,,50,,205,[Xe]4f56s2,61
Sm,544.5,2076,1345,1.17,6,,50,,238,[Xe]4f66s2,62
Eu,547.1,1800,1095,,6,,50,,231,[Xe]4f76s2,63
Gd,593.4,3523,1586,1.2,6,,50,,233,[Xe]4f75d16s2,64
Tb,565.8,3503,1629,,6,,50,,225,[Xe]4f96s2,65
Dy,573,2840,1685,1.22,6,,50,,228,[Xe]4f106s2,66
Ho,581,2973,1747,1.23,6,,50,,226,[Xe]4f116s2,67
Er,589.3,3141,1770,1.24,6,,50,,226,[Xe]4f126s2,68
Tm,596.7,2223,1818,1.25,6,,50,,222,[Xe]4f136s2,69
Yb,603.4,1469,1092,,6,,50,,222,[Xe]4f146s2,70
Lu,523.5,3675,1936,1.27,6,,50,,217,[Xe]4f145d16s2,71
Hf,658.5,4876,2506,1.3,6,4,0,,208,[Xe]4f145d26s2,72
Ta,761,5731,3290,1.5,6,5,31,,200,[Xe]4f145d36s2,73
W,770,5828,3695,2.36,6,6,78.6,,193,[Xe]4f145d46s2,74
Re,760,5869,3459,1.9,6,7,14.5,,188,[Xe]4f145d56s2,75
Os,840,5285,3306,2.2,6,8,106.1,,185,[Xe]4f145d66s2,76
Ir,880,4701,2739,2.2,6,9,151,,180,[Xe]4f145d76s2,77
Pt,870,4098,2041.4,2.28,6,10,205.3,,177,[Xe]4f145d96s1,78
Au,890.1,3129,1337.3,2.54,6,11,222.8,,174,[Xe]4f145d96s2,79
Hg,1007.1,629.9,234.3,2,6,12,0,,171,[Xe]4f145d106s2,80
Tl,589.4,1746,577,1.62,6,13,19.2,,156,[Xe]4f145d106s26p1,81
Pb,715.6,2022,600.6,2.33,6,14,35.1,,154,[Xe]4f145d106s26p2,82
Bi,703,1837,544.4,2.02,6,15,91.2,,143,[Xe]4f145d106s26p3,83
Po,812.1,1235,527,2,6,16,183.3,,135,[Xe]4f145d106s26p4,84
At,890,610,575,2.2,6,17,270.1,,127,[Xe]4f145d106s26p5,85
Rn,1037,211.3,202,,6,18,0,,120,[Xe]4f145d106s26p6,86
Fr,380,950,300,0.7,7,1,,,,[Rn]7s1,87
Ra,509.3,2010,973,0.9,7,2,,,,[Rn]7s2,88
Ac,499,3473,1323,1.1,7,3,,,,[Rn]6d17s2,89
Th,587,5093,2023,1.3,7,,,,,[Rn]6d27s2,90
Pa,568,4273,1845,1.5,7,,,,,[Rn]5f26d17s2,91
U,597.6,4200,1408,1.38,7,,,,,[Rn]5f36d17s2,92
Np,604.5,4273,917,1.36,7,,,,,[Rn]5f46d17s2,93
Pu,584.7,3503,913,1.28,7,,,,,[Rn]5f67s2,94
Am,578,2284,1449,1.3,7,,,,,[Rn]5f76d17s2,95
Cm,581,3383,1618,1.3,7,,,,,[Rn]5f76d17s2,96
Bk,601,,1323,1.3,7,,,,,[Rn]5f97s2,97
Cf,608,,1173,1.3,7,,,,,[Rn]5f107s2,98
Es,619,,1133,1.3,7,,,,,[Rn]5f117s2,99
Fm,627,,1800,1.3,7,,,,,[Rn]5f127s2,100
Md,635,,1100,1.3,7,,,,,[Rn]5f137s2,101
No,642,,1100,1.3,7,,,,,[Rn]5f147s2,102
Lr,470,,1900,,7,,,,,[Rn]5f147s27p1,103
Rf,580,,,,7,4,,,,[Rn]5f146d27s2,104
Db,,,,,7,5,,,,,105
Sg,,,,,7,6,,,,,106
Bh,,,,,7,7,,,,,107
Hs,,,,,7,8,,,,,108
Mt,,,,,7,9,,,,,109
Ds,,,,,7,10,,,,,110
Rg,,,,,7,11,,,,,111
Cn,,,,,7,12,,,,,112
Uut,,,,,7,13,,,,,113
Fl,,,,,7,14,,,,,114
Uup,,,,,7,15,,,,,115
Lv,,,,,7,16,,,,,116
Uus,,,,,7,17,,,,,117
Uuo,,,,,7,18,,,,,118
