id,v_4,v_3,v_2,v_1,v0,v1,v2,v3,v4,v5,v6,v7,v8,,
0,,,,1,,1,,,,,,,,,
1,,,,,1,,,,,,,,,,
2,,,,,,1,,,,,,,,,
3,,,,,,,1,,,,,,,,
4,,,,,,,,1,,,,,,,
5,1,,,,,,,,1,,,,,,
6,,1,,,,,,1,,1,,,,,
7,,,1,,,,,,,,,,,,
8,,,,1,,,,,,,,,,,
9,,,,,1,,,,,,,,,,
10,,,,,,1,,,,,,,,,
11,,,,,,,1,,,,,,,,
12,,,,,,,,1,,,,,,,
13,1,,,,,,,,1,,,,,,
14,,1,,,,,,1,,1,,,,,
15,,,1,,,,1,,1,,1,,,,
16,,,,1,,1,,1,,1,,1,,,
17,,,,,1,,,,,,,,,,
18,,,,,,1,,,,,,,,,
19,,,,,,,1,,,,,,,,
20,,,,,,,,1,,,,,,,
21,1,,,,,,,,1,,,,,,
22,,,,,,,,,,1,,,,,
23,,,,,,,,1,,,1,,,,
24,,,,,,,1,,1,,,1,,,
25,,,,,,,1,1,,,,,,,
26,,,,,,,1,1,,,,,,,
27,,,,,,,1,,,,,,,,
28,,,,,,,1,,,,,,,,
29,,,,,,,1,,,,,,,,
30,,,,,,,,1,,,,,,,
31,1,,,,,,1,,1,,,,,,
32,,1,,,,,,1,,1,,,,,
33,,,1,,,,1,,1,,1,,,,
34,,,,1,,1,,1,,1,,,,,
35,,,,,,,1,,,,,,,,
36,,,,,,1,,,,,,,,,
37,,,,,,,1,,,,,,,,
38,,,,,,,,1,,,,,,,
39,,,,,,,,,1,,,,,,
40,,,,,,,,,,1,,,,,
41,,,,,,,,,1,,1,,,,
42,,,,,,,,,1,,,1,,,
43,,,,,,,,1,1,,,,,,
44,,,,,,,,1,,,,,,,
45,,,,,,,1,,1,,,,,,
46,,,,,,1,,,,,,,,,
47,,,,,,,1,,,,,,,,
48,,,,,,,,1,,,,,,,
49,1,,,,,,1,,1,,,,,,
50,,1,,,,,,1,,1,,,,,
51,,,1,,,,1,,1,,1,,,,
52,,,,1,,1,,1,,1,,1,,,
53,,,,,,,1,,1,,1,,,,
54,,,,,,1,,,,,,,,,
55,,,,,,,1,,,,,,,,
56,,,,,,,,1,,,,,,,
57,,,,,,,,1,1,,,,,,
58,,,,,,,,1,,,,,,,
59,,,,,,,,1,,,,,,,
60,,,,,,,,1,,,,,,,
61,,,,,,,,1,,,,,,,
62,,,,,,,1,1,,,,,,,
63,,,,,,,,1,,,,,,,
64,,,,,,,,1,,,,,,,
65,,,,,,,,1,,,,,,,
66,,,,,,,,1,,,,,,,
67,,,,,,,,1,,,,,,,
68,,,,,,,,1,,,,,,,
69,,,,,,,,1,,,,,,,
70,,,,,,,,1,,,,,,,
71,,,,,,,,,1,,,,,,
72,,,,,,,,,,1,,,,,
73,,,,,,,,,1,,1,,,,
74,,,,,,,,,1,,,,,,
75,,,,,,,,,1,,,,,,
76,,,,,,,,1,1,,,,,,
77,,,,,,,1,,1,,,,,,
78,,,,,,,,1,,,,,,,
79,,,,,,1,1,,,,,,,,
80,,,,,,1,,1,,,,,,,
81,,,,,,,1,,1,,,,,,
82,,,,,,,,1,,,,,,,
83,,,1,,,,1,,1,,,,,,
84,,,,1,,1,,,,,,,,,
85,,,,,,,1,,,,,,,,
86,,,,,,1,,,,,,,,,
87,,,,,,,1,,,,,,,,
88,,,,,,,,1,,,,,,,
89,,,,,,,,,1,,,,,,
90,,,,,,,,,,1,,,,,
91,,,,,,,,,,,1,,,,
92,,,,,,,,,,1,,,,,
93,,,,,,,,,1,,,,,,
94,,,,,,,,1,,,,,,,
95,,,,,,,,1,,,,,,,
96,,,,,,,,1,,,,,,,
97,,,,,,,,1,,,,,,,
98,,,,,,,,1,,,,,,,
99,,,,,,,,1,,,,,,,
100,,,,,,,,1,,,,,,,
101,,,,,,,1,,,,,,,,
102,,,,,,,,1,,,,,,,
103,,,,,,,,,1,,,,,,
104,,,,,,,,,,1,,,,,
105,,,,,,,,,,,1,,,,
106,,,,,,,,,,,,1,,,
107,,,,,,,,,,,,,1,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
